Subzone N,Geometry,Latitude (generated),Longitude (generated),Four Rm,Three Rm
CLEMENTI NORTH,POLYGON,1.319050109,103.765284380,10420,12540
CLEMENTI CENTRAL,POLYGON,1.312176171,103.762190986,5180,4470
CLARKE QUAY,POLYGON,1.289635651,103.844318274,0,0
CITY TERMINALS,POLYGON,1.264606056,103.838498283,0,0
CITY HALL,POLYGON,1.293595205,103.853673851,0,0
CHONG BOON,POLYGON,1.363704316,103.856214612,8530,13180
CHOA CHU KANG NORTH,POLYGON,1.393087020,103.746202649,9640,590
CHOA CHU KANG CENTRAL,POLYGON,1.385462239,103.749391430,8700,0
CHINATOWN,POLYGON,1.279909498,103.844387269,4850,2830
CHINA SQUARE,POLYGON,1.284296677,103.84714617,0,1400
CHIN BEE,POLYGON,1.334411210,103.713343604,0,0
CHENG SAN,POLYGON,1.372740028,103.854689766,8500,14320
CHATSWORTH,POLYGON,1.297615710,103.825089227,0,0
CHANGI WEST,POLYGON,1.369336947,103.976228100,0,0
CHANGI POINT,POLYGON,1.391224693,103.979637459,0,440
CHANGI BAY,MULTIPOLYGON,1.330420144,104.052353400,0,0
CHANGI AIRPORT,POLYGON,1.359897137,103.999522937,0,0
CENTRAL WATER CATCHMENT,POLYGON,1.364970369,103.816180474,0,0
CENTRAL SUBZONE,POLYGON,1.274712233,103.849627992,0,0
CECIL,POLYGON,1.278686293,103.848563196,0,0
CAIRNHILL,POLYGON,1.305567426,103.836538253,0,0
BUKIT MERAH,POLYGON,1.281696856,103.819792674,10,150
BUKIT HO SWEE,POLYGON,1.289895115,103.831873691,3390,6010
BUKIT BATOK WEST,POLYGON,1.348366682,103.742120464,5980,5460
BUKIT BATOK SOUTH,POLYGON,1.341220907,103.760385343,6170,0
BUKIT BATOK EAST,POLYGON,1.348926446,103.757594809,5470,6370
BUKIT BATOK CENTRAL,POLYGON,1.347841354,103.749657477,11280,4110
BUGIS,POLYGON,1.299137387,103.855280493,970,1110
BRICKWORKS,POLYGON,1.355068741,103.742997168,0,0
BRAS BASAH,POLYGON,1.296828967,103.849435390,0,0
BRADDELL,POLYGON,1.339511626,103.849663526,1990,3120
BOULEVARD,POLYGON,1.305773986,103.832786173,0,0
BOON TECK,POLYGON,1.335459123,103.852840239,1280,4120
BOON LAY PLACE,POLYGON,1.346080814,103.713824377,4820,15170
BOON KENG,POLYGON,1.316754002,103.873533608,4480,2420
BOAT QUAY,POLYGON,1.286990179,103.848201092,0,0
BISHAN EAST,POLYGON,1.349468962,103.854828122,11700,2020
BIDADARI,POLYGON,1.341939934,103.874395197,0,0
BENOI SECTOR,POLYGON,1.316185095,103.686844017,0,0
BENDEMEER,POLYGON,1.321621284,103.861766423,11630,9040
BENCOOLEN,POLYGON,1.301169154,103.850899713,140,900
BEDOK SOUTH,POLYGON,1.322405466,103.947164409,13700,9350
BEDOK RESERVOIR,POLYGON,1.340097538,103.927084257,9030,3150
BEDOK NORTH,POLYGON,1.330352612,103.935462501,25900,33600
